Script started on 2022-10-22 17:19:53+03:00 [COMMAND="./TrainTest.sh" TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="94" LINES="21"]
loading training configuration: /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/config/training_conf9.dict
Training started with data from /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s21Train.root and /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s22Train.root
/home/kpapad/UG_thesis/my_env/lib/python3.10/site-packages/xgboost/sklearn.py:793: UserWarning: `early_stopping_rounds` in `fit` method is deprecated for better compatibility with scikit-learn, use `early_stopping_rounds` in constructor or`set_params` instead.
  warnings.warn(
[158]	validation_0-logloss:0.58560
[159]	validation_0-logloss:0.58505
[160]	validation_0-logloss:0.58456
[161]	validation_0-logloss:0.58398
[162]	validation_0-logloss:0.58345
[163]	validation_0-logloss:0.58266
[164]	validation_0-logloss:0.58221
[165]	validation_0-logloss:0.58157
[166]	validation_0-logloss:0.58077
[167]	validation_0-logloss:0.57994
[168]	validation_0-logloss:0.57928
[169]	validation_0-logloss:0.57844
[170]	validation_0-logloss:0.57790
[171]	validation_0-logloss:0.57698
[172]	validation_0-logloss:0.57661
[173]	validation_0-logloss:0.57614
[174]	validation_0-logloss:0.57567
[175]	validation_0-logloss:0.57507
[176]	validation_0-logloss:0.57463
[177]	validation_0-logloss:0.57413
[178]	validation_0-logloss:0.57336
[179]	validation_0-logloss:0.57265
[180]	validation_0-logloss:0.57215
[181]	validation_0-logloss:0.57176
[182]	validation_0-logloss:0.57122
[183]	validation_0-logloss:0.57061
[184]	validation_0-logloss:0.56995
[185]	validation_0-logloss:0.56918
[186]	validation_0-logloss:0.56826
[187]	validation_0-logloss:0.56764
[188]	validation_0-logloss:0.56677
[189]	validation_0-logloss:0.56621
[190]	validation_0-logloss:0.56570
[191]	validation_0-logloss:0.56494
[192]	validation_0-logloss:0.56447
[193]	validation_0-logloss:0.56379
[194]	validation_0-logloss:0.56330
[195]	validation_0-logloss:0.56254
[196]	validation_0-logloss:0.56228
[197]	validation_0-logloss:0.56158
[198]	validation_0-logloss:0.56075
[199]	validation_0-logloss:0.56018
[200]	validation_0-logloss:0.55947
[201]	validation_0-logloss:0.55900
[202]	validation_0-logloss:0.55850
[203]	validation_0-logloss:0.55810
[204]	validation_0-logloss:0.55768
[205]	validation_0-logloss:0.55720
[206]	validation_0-logloss:0.55682
[207]	validation_0-logloss:0.55620
[208]	validation_0-logloss:0.55592
[209]	validation_0-logloss:0.55558
[210]	validation_0-logloss:0.55485
[211]	validation_0-logloss:0.55433
[212]	validation_0-logloss:0.55380
[213]	validation_0-logloss:0.55311
[214]	validation_0-logloss:0.55241
[215]	validation_0-logloss:0.55165
[216]	validation_0-logloss:0.55127
[217]	validation_0-logloss:0.55070
[218]	validation_0-logloss:0.55012
[219]	validation_0-logloss:0.54920
[220]	validation_0-logloss:0.54856
[221]	validation_0-logloss:0.54786
[222]	validation_0-logloss:0.54709
[223]	validation_0-logloss:0.54668
[224]	validation_0-logloss:0.54621
[225]	validation_0-logloss:0.54564
[226]	validation_0-logloss:0.54485
[227]	validation_0-logloss:0.54447
[228]	validation_0-logloss:0.54372
[229]	validation_0-logloss:0.54297
[230]	validation_0-logloss:0.54243
[231]	validation_0-logloss:0.54180
[232]	validation_0-logloss:0.54135
[233]	validation_0-logloss:0.54091
[234]	validation_0-logloss:0.54018
[235]	validation_0-logloss:0.53975
[236]	validation_0-logloss:0.53942
[237]	validation_0-logloss:0.53873
[238]	validation_0-logloss:0.53813
[239]	validation_0-logloss:0.53744
[240]	validation_0-logloss:0.53686
[241]	validation_0-logloss:0.53626
[242]	validation_0-logloss:0.53586
[243]	validation_0-logloss:0.53513
[244]	validation_0-logloss:0.53467
[245]	validation_0-logloss:0.53407
[246]	validation_0-logloss:0.53341
[247]	validation_0-logloss:0.53299
[248]	validation_0-logloss:0.53274
[249]	validation_0-logloss:0.53229
[250]	validation_0-logloss:0.53191
[251]	validation_0-logloss:0.53157
[252]	validation_0-logloss:0.53117
[253]	validation_0-logloss:0.53072
[254]	validation_0-logloss:0.53019
[255]	validation_0-logloss:0.52963
[256]	validation_0-logloss:0.52907
[257]	validation_0-logloss:0.52839
[258]	validation_0-logloss:0.52780
[259]	validation_0-logloss:0.52733
[260]	validation_0-logloss:0.52684
[261]	validation_0-logloss:0.52626
[262]	validation_0-logloss:0.52546
[263]	validation_0-logloss:0.52488
[264]	validation_0-logloss:0.52459
[265]	validation_0-logloss:0.52435
[266]	validation_0-logloss:0.52398
[267]	validation_0-logloss:0.52345
[268]	validation_0-logloss:0.52302
[269]	validation_0-logloss:0.52244
[270]	validation_0-logloss:0.52197
[271]	validation_0-logloss:0.52138
[272]	validation_0-logloss:0.52096
[273]	validation_0-logloss:0.52041
[274]	validation_0-logloss:0.51983
[275]	validation_0-logloss:0.51932
[276]	validation_0-logloss:0.51874
[277]	validation_0-logloss:0.51836
[278]	validation_0-logloss:0.51769
[279]	validation_0-logloss:0.51720
[280]	validation_0-logloss:0.51653
[281]	validation_0-logloss:0.51593
